,rowName,colName,value
0,r1,col1,row11
1,r1,col2,row12
2,r1,col3,row13
3,r1,col4,row14
4,r1,col5,row15
5,r1,col6,row16
6,r1,col7,row17
7,r2,col1,row21
8,r2,col2,row22
9,r2,col3,row23
10,r2,col4,row24
11,r2,col5,row25
12,r2,col6,row26
13,r2,col7,row27
14,r3,col1,row31
15,r3,col2,row32
16,r3,col3,row33
17,r3,col4,row34
18,r3,col5,row35
19,r3,col6,row36
20,r3,col7,row37
21,r4,col1,row41
22,r4,col2,row42
23,r4,col3,row43
24,r4,col4,row44
25,r4,col5,row45
26,r4,col6,row46
27,r4,col7,row47
28,r5,col1,row51
29,r5,col2,row52
30,r5,col3,row53
31,r5,col4,row54
32,r5,col5,row55
33,r5,col6,row56
34,r5,col7,row57
35,r6,col1,row61
36,r6,col2,row62
37,r6,col3,row63
38,r6,col4,row64
39,r6,col5,row65
40,r6,col6,row66
41,r6,col7,row67
